CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
,,,,,,Product Sales,Product Sales,Product Sales,Service Revenue,Service Revenue,Shipping Rev,Returns/Discount,Materials,Freight In,Direct Labour,Inventory Adjustments,Marketing,Freight Out,Software,Occupancy,Professional Fees,Office/Admin,Other OpEx,Depreciation,Realized FX Gain (Loss),Unrealized FX Gain (Loss),Interest Income,Interest Expense,Income Tax,Cash,Cash,Cash,Accounts Receviable,Accounts Receviable,Accounts Receviable,Inventory,Inventory,Inventory,Prepaids,Property & Equipment,Accounts Payable,Accounts Payable,Accounts Payable,Due to / From Intercompany,Due to / From Intercompany,Unearned Revenue,Taxes Payable,Shareholder Loan,Retained Earnings ,Owner contributions,Owner contributions,,,,,,,,,,,,,,,,,
,,,,,,4000,4000,4000,4100,4100,4200,4300,5000,5100,5200,5300,6000,6100,6200,6300,6400,6500,6600,7000,8000,8100,8200,8300,8400,1000,1000,1000,1100,1100,1100,1200,1200,1200,1300,1400,2000,2000,2000,2100,2100,2200,2300,2400,3000,3100,3100,,,,,,,,,,,,,,,,,
Posted Date,Description,Ref,Amount,Balance,,NOBL,LBNA/XM,Interco,Interco,XM,Shipping Rev,Returns/Discount,Materials,Freight In,Direct Labour,Inventory Adjustments,Marketing,Freight Out,Software,Occupancy,Professional Fees,Office/Admin,Other OpEx,Depreciation,Realized FX Gain (Loss),Unrealized FX Gain (Loss),Interest Income,Interest Expense,Income Tax,Cash Sweep In,Cash Sweep Out,Cash Sweep Visa,Trade,Interco,XM,General,Interco,XM,Prepaids,Property & Equipment,Trade,Interco,XM,Due From,Due To,Unearned Revenue,Taxes Payable,Shareholder Loan,Retained Earnings ,Owner contributions,Owner draws,Total,,Transfer ID,Transfer  To/From ,FX Register,usd$,,,,,,,,,,,TRF Seq
2025-07-31,OPENING BALANCE,,0,58735.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-01,Monthly fee,,-6,58729.77,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,AMX DEP12233920,,52.61,58782.38,,-52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,Business PAD KATIE THIESSEN 7736307,,"-1,988.64","56,793.74",,,,,,,,,,,,,,,,,,,"1,988.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-04,MC DEP 12233920,,120.49,"56,914.23",,-120.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,MC DEP 12233920,,232.82,"57,147.05",,-232.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,MC FEE 12233920,,-0.01,"57,147.04",,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,MC FEE 12233920,,-3.66,"57,143.38",,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,MC FEE 12233920,,-6.43,"57,136.95",,,,,,,,,,,,,,,,,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,Misc Payment PAYPAL,,125.95,"57,262.90",,-125.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,VSA DEP12233920,,110.11,"57,373.01",,-110.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,VSA DEP12233920,,161.36,"57,534.37",,-161.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,VSA DEP12233920,,"1,134.00","58,668.37",,"-1,134.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-04,VSA FEE12233920,,-1.94,"58,666.43",,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,VSA FEE12233920,,-3.19,"58,663.24",,,,,,,,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-04,VSA FEE12233920,,-18.89,"58,644.35",,,,,,,,,,,,,,,,,,,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,Business PAD Clearbridge Bus,,-884.8,"57,759.55",,,,,,,,,,,,,,,,,,,884.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,Federal Payment CANADA,,"-1,665.37","56,094.18",,,,,,,,,,,,,,,,,,,"1,665.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-05,MC DEP 12233920,,48.75,"56,142.93",,-48.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,MC DEP 12374336,,67.18,"56,210.11",,-67.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,MC FEE 12233920,,-1.37,"56,208.74",,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,Prov/Local Gvt Payment PROVINCE OF BC,,"-7,905.60","48,303.14",,,,,,,,,,,,,,,,,,,"7,905.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-05,VSA DEP12233920,,80.57,"48,383.71",,-80.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,VSA DEP12374336,,44.79,"48,428.50",,-44.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-05,VSA FEE12233920,,-1.64,"48,426.86",,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,Activity fee,,-465.5,"47,961.36",,,,,,,,,,,,,,,,,,,465.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,Business PAD Clearbridge Bus,,-322.88,"47,638.48",,,,,,,,,,,,,,,,,,,322.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,MC FEE 12233920,,-0.15,"47,638.33",,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,-747.29,"46,891.04",,,,,,,,,,,,,,,,,,,747.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,-874.03,"46,017.01",,,,,,,,,,,,,,,,,,,874.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,231.38","44,785.63",,,,,,,,,,,,,,,,,,,"1,231.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,383.00","43,402.63",,,,,,,,,,,,,,,,,,,"1,383.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,442.84","41,959.79",,,,,,,,,,,,,,,,,,,"1,442.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,482.74","40,477.05",,,,,,,,,,,,,,,,,,,"1,482.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
2025-08-06,Payroll Deposit INTUIT 07547378 PAYROLL,,"-1,677.83","38,799.22",,,,,,,,,,,,,,,,,,,"1,677.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
